epoch,loss,node_pos_loss,degrees_loss,node_types_loss,node_pos_accuracy,degrees_accuracy,node_types_accuracy,val_loss,val_node_pos_loss,val_degrees_loss,val_node_types_loss,val_node_pos_accuracy,val_degrees_accuracy,val_node_types_accuracy,loss_sm,node_pos_loss_sm,degrees_loss_sm,node_types_loss_sm,node_pos_accuracy_sm,degrees_accuracy_sm,node_types_accuracy_sm,val_loss_sm,val_node_pos_loss_sm,val_degrees_loss_sm,val_node_types_loss_sm,val_node_pos_accuracy_sm,val_degrees_accuracy_sm,val_node_types_accuracy_sm
44,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000
45,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000
46,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000
47,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000
48,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000
49,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000
50,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000
51,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000
52,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000
53,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000
