epoch,loss,node_pos_loss,degrees_loss,node_types_loss,node_pos_accuracy,degrees_accuracy,node_types_accuracy,val_loss,val_node_pos_loss,val_degrees_loss,val_node_types_loss,val_node_pos_accuracy,val_degrees_accuracy,val_node_types_accuracy,loss_sm,node_pos_loss_sm,degrees_loss_sm,node_types_loss_sm,node_pos_accuracy_sm,degrees_accuracy_sm,node_types_accuracy_sm,val_loss_sm,val_node_pos_loss_sm,val_degrees_loss_sm,val_node_types_loss_sm,val_node_pos_accuracy_sm,val_degrees_accuracy_sm,val_node_types_accuracy_sm
13,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
14,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,0.9999,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
15,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
16,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
17,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
18,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
19,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0001,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0002,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
20,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
21,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
22,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
23,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
24,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
25,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
26,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
27,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
28,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
29,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
30,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
31,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
32,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
33,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
34,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
35,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
36,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
37,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
38,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
39,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
40,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
41,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
42,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
43,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
44,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
45,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
46,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
47,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
48,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
49,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
50,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
51,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
52,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0001,0.0000,0.0000,0.0001,1.0000,1.0000,1.0000
