epoch,loss,node_pos_loss,degrees_loss,node_types_loss,node_pos_accuracy,degrees_accuracy,node_types_accuracy,val_loss,val_node_pos_loss,val_degrees_loss,val_node_types_loss,val_node_pos_accuracy,val_degrees_accuracy,val_node_types_accuracy,loss_sm,node_pos_loss_sm,degrees_loss_sm,node_types_loss_sm,node_pos_accuracy_sm,degrees_accuracy_sm,node_types_accuracy_sm,val_loss_sm,val_node_pos_loss_sm,val_degrees_loss_sm,val_node_types_loss_sm,val_node_pos_accuracy_sm,val_degrees_accuracy_sm,val_node_types_accuracy_sm
17,0.0002214,0.0000419,0.0000802,0.0000993,0.9999979,0.9999828,0.9999690,0.0002164,0.0000407,0.0000772,0.0000985,0.9999955,0.9999840,0.9999695,0.0002064,0.0000379,0.0000733,0.0000952,0.9999981,0.9999836,0.9999691,0.0001977,0.0000362,0.0000694,0.0000921,0.9999954,0.9999847,0.9999697
18,0.0002015,0.0000360,0.0000727,0.0000927,0.9999982,0.9999837,0.9999694,0.0001890,0.0000349,0.0000707,0.0000835,0.9999953,0.9999840,0.9999728,0.0001792,0.0000299,0.0000616,0.0000876,0.9999981,0.9999863,0.9999696,0.0001731,0.0000288,0.0000579,0.0000864,0.9999954,0.9999866,0.9999699
19,0.0001522,0.0000208,0.0000517,0.0000798,0.9999983,0.9999878,0.9999698,0.0001432,0.0000181,0.0000428,0.0000823,0.9999954,0.9999888,0.9999675,0.0001553,0.0000235,0.0000505,0.0000813,0.9999982,0.9999889,0.9999700,0.0001535,0.0000232,0.0000475,0.0000827,0.9999954,0.9999884,0.9999697
20,0.0001346,0.0000179,0.0000400,0.0000768,0.9999982,0.9999915,0.9999704,0.0001355,0.0000189,0.0000383,0.0000784,0.9999955,0.9999901,0.9999713,0.0001378,0.0000194,0.0000417,0.0000767,0.9999983,0.9999911,0.9999703,0.0001422,0.0000203,0.0000404,0.0000815,0.9999954,0.9999898,0.9999692
21,0.0001263,0.0000170,0.0000354,0.0000739,0.9999984,0.9999925,0.9999703,0.0001322,0.0000177,0.0000357,0.0000787,0.9999954,0.9999906,0.9999699,0.0001269,0.0000173,0.0000359,0.0000737,0.9999983,0.9999927,0.9999706,0.0001377,0.0000192,0.0000364,0.0000821,0.9999954,0.9999906,0.9999681
22,0.0001210,0.0000164,0.0000324,0.0000721,0.9999983,0.9999937,0.9999707,0.0001428,0.0000210,0.0000363,0.0000855,0.9999954,0.9999910,0.9999672,0.0001202,0.0000164,0.0000324,0.0000714,0.9999983,0.9999937,0.9999710,0.0001357,0.0000187,0.0000339,0.0000832,0.9999954,0.9999912,0.9999669
23,0.0001174,0.0000161,0.0000306,0.0000707,0.9999981,0.9999949,0.9999712,0.0001340,0.0000186,0.0000314,0.0000840,0.9999954,0.9999918,0.9999653,0.0001154,0.0000158,0.0000303,0.0000693,0.9999983,0.9999943,0.9999714,0.0001331,0.0000179,0.0000318,0.0000833,0.9999954,0.9999915,0.9999661
24,0.0001122,0.0000155,0.0000287,0.0000680,0.9999982,0.9999945,0.9999717,0.0001340,0.0000173,0.0000316,0.0000850,0.9999954,0.9999914,0.9999651,0.0001116,0.0000154,0.0000288,0.0000674,0.9999983,0.9999946,0.9999718,0.0001286,0.0000170,0.0000302,0.0000814,0.9999954,0.9999918,0.9999664
25,0.0001100,0.0000153,0.0000283,0.0000665,0.9999985,0.9999943,0.9999719,0.0001316,0.0000158,0.0000281,0.0000877,0.9999954,0.9999920,0.9999622,0.0001083,0.0000151,0.0000278,0.0000654,0.9999983,0.9999949,0.9999723,0.0001226,0.0000163,0.0000290,0.0000774,0.9999954,0.9999920,0.9999681
26,0.0001064,0.0000150,0.0000271,0.0000642,0.9999982,0.9999951,0.9999725,0.0001103,0.0000152,0.0000271,0.0000681,0.9999955,0.9999923,0.9999723,0.0001053,0.0000148,0.0000269,0.0000636,0.9999984,0.9999952,0.9999727,0.0001166,0.0000160,0.0000283,0.0000724,0.9999954,0.9999922,0.9999705
27,0.0001032,0.0000144,0.0000263,0.0000625,0.9999985,0.9999955,0.9999728,0.0001199,0.0000167,0.0000297,0.0000735,0.9999952,0.9999921,0.9999704,0.0001025,0.0000145,0.0000261,0.0000618,0.9999984,0.9999955,0.9999733,0.0001120,0.0000159,0.0000278,0.0000683,0.9999954,0.9999923,0.9999725
28,0.0001020,0.0000145,0.0000258,0.0000616,0.9999985,0.9999957,0.9999737,0.0001034,0.0000155,0.0000266,0.0000613,0.9999952,0.9999927,0.9999755,0.0000998,0.0000142,0.0000255,0.0000601,0.9999984,0.9999956,0.9999738,0.0001099,0.0000159,0.0000273,0.0000667,0.9999954,0.9999923,0.9999733
29,0.0000974,0.0000140,0.0000250,0.0000583,0.9999982,0.9999957,0.9999741,0.0000982,0.0000162,0.0000273,0.0000547,0.9999958,0.9999918,0.9999796,0.0000973,0.0000140,0.0000249,0.0000584,0.9999983,0.9999958,0.9999743,0.0001103,0.0000158,0.0000268,0.0000677,0.9999954,0.9999924,0.9999728
30,0.0000961,0.0000138,0.0000247,0.0000576,0.9999984,0.9999958,0.9999743,0.0001289,0.0000162,0.0000269,0.0000858,0.9999953,0.9999926,0.9999636,0.0000949,0.0000137,0.0000243,0.0000570,0.9999983,0.9999958,0.9999750,0.0001113,0.0000157,0.0000263,0.0000692,0.9999954,0.9999925,0.9999721
31,0.0000938,0.0000135,0.0000238,0.0000564,0.9999981,0.9999959,0.9999751,0.0000952,0.0000145,0.0000244,0.0000563,0.9999951,0.9999927,0.9999778,0.0000928,0.0000135,0.0000237,0.0000556,0.9999983,0.9999959,0.9999758,0.0001105,0.0000156,0.0000260,0.0000689,0.9999954,0.9999926,0.9999724
32,0.0000914,0.0000133,0.0000233,0.0000548,0.9999982,0.9999959,0.9999768,0.0001329,0.0000167,0.0000275,0.0000887,0.9999956,0.9999925,0.9999640,0.0000908,0.0000133,0.0000233,0.0000543,0.9999983,0.9999960,0.9999765,0.0001069,0.0000155,0.0000258,0.0000657,0.9999954,0.9999926,0.9999739
33,0.0000896,0.0000132,0.0000231,0.0000533,0.9999985,0.9999959,0.9999770,0.0000960,0.0000153,0.0000255,0.0000552,0.9999953,0.9999926,0.9999785,0.0000890,0.0000131,0.0000229,0.0000530,0.9999983,0.9999960,0.9999771,0.0001019,0.0000153,0.0000254,0.0000612,0.9999954,0.9999927,0.9999761
34,0.0000886,0.0000131,0.0000227,0.0000528,0.9999983,0.9999961,0.9999771,0.0000931,0.0000151,0.0000250,0.0000530,0.9999954,0.9999927,0.9999800,0.0000873,0.0000130,0.0000226,0.0000517,0.9999983,0.9999961,0.9999777,0.0000982,0.0000150,0.0000252,0.0000580,0.9999954,0.9999927,0.9999775
35,0.0000866,0.0000129,0.0000225,0.0000512,0.9999982,0.9999960,0.9999776,0.0000949,0.0000143,0.0000239,0.0000567,0.9999954,0.9999927,0.9999777,0.0000856,0.0000128,0.0000223,0.0000505,0.9999983,0.9999961,0.9999783,0.0000971,0.0000149,0.0000253,0.0000570,0.9999954,0.9999926,0.9999781
36,0.0000835,0.0000125,0.0000217,0.0000493,0.9999982,0.9999961,0.9999789,0.0001000,0.0000152,0.0000261,0.0000587,0.9999954,0.9999927,0.9999780,0.0000842,0.0000127,0.0000222,0.0000494,0.9999983,0.9999961,0.9999789,0.0000972,0.0000149,0.0000255,0.0000568,0.9999954,0.9999926,0.9999782
37,0.0000829,0.0000125,0.0000221,0.0000483,0.9999985,0.9999962,0.9999798,0.0000963,0.0000144,0.0000255,0.0000564,0.9999954,0.9999924,0.9999778,0.0000833,0.0000126,0.0000220,0.0000487,0.9999983,0.9999961,0.9999792,0.0000972,0.0000150,0.0000258,0.0000565,0.9999955,0.9999926,0.9999783
38,0.0000841,0.0000128,0.0000227,0.0000486,0.9999982,0.9999959,0.9999792,0.0000971,0.0000153,0.0000263,0.0000555,0.9999957,0.9999924,0.9999791,0.0000824,0.0000125,0.0000218,0.0000481,0.9999983,0.9999961,0.9999795,0.0000969,0.0000150,0.0000258,0.0000561,0.9999955,0.9999926,0.9999784
39,0.0000816,0.0000124,0.0000213,0.0000479,0.9999981,0.9999961,0.9999794,0.0000996,0.0000157,0.0000265,0.0000575,0.9999954,0.9999927,0.9999778,0.0000814,0.0000124,0.0000215,0.0000475,0.9999983,0.9999961,0.9999797,0.0000963,0.0000150,0.0000255,0.0000558,0.9999955,0.9999926,0.9999785
40,0.0000815,0.0000124,0.0000213,0.0000477,0.9999983,0.9999959,0.9999797,0.0000922,0.0000144,0.0000247,0.0000532,0.9999956,0.9999924,0.9999795,0.0000802,0.0000123,0.0000211,0.0000468,0.9999983,0.9999962,0.9999800,0.0000957,0.0000150,0.0000252,0.0000556,0.9999955,0.9999927,0.9999786
41,0.0000792,0.0000121,0.0000209,0.0000462,0.9999983,0.9999962,0.9999803,0.0000974,0.0000149,0.0000251,0.0000574,0.9999954,0.9999925,0.9999775,0.0000790,0.0000121,0.0000208,0.0000461,0.9999983,0.9999963,0.9999804,0.0000952,0.0000150,0.0000249,0.0000552,0.9999955,0.9999928,0.9999788
