epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
37,0.0951,0.9690,0.9676,0.9705,0.4513,0.8641,0.6021,0.9927,0.1080,0.9665,0.9626,0.9708,0.6116,0.7945,0.5822,0.9762
38,0.1220,0.9635,0.9571,0.9705,1.2288,0.5744,0.3289,0.9929,0.1082,0.9666,0.9623,0.9713,0.5980,0.7946,0.5648,0.9797
39,0.0997,0.9697,0.9667,0.9730,0.3817,0.8705,0.6208,0.9762,0.1081,0.9665,0.9618,0.9715,0.4941,0.8278,0.6042,0.9793
40,0.1156,0.9637,0.9575,0.9705,0.4843,0.8061,0.5314,0.9751,0.1065,0.9666,0.9620,0.9717,0.3504,0.8783,0.6872,0.9769
41,0.1065,0.9665,0.9614,0.9720,0.2145,0.9454,0.7836,0.9816,0.1035,0.9674,0.9631,0.9720,0.2242,0.9241,0.7799,0.9729
42,0.1001,0.9672,0.9638,0.9710,0.1103,0.9653,0.8668,0.9778,0.1006,0.9684,0.9646,0.9726,0.1392,0.9540,0.8519,0.9666
43,0.0939,0.9705,0.9672,0.9740,0.0591,0.9790,0.9400,0.9543,0.0990,0.9693,0.9658,0.9730,0.0972,0.9678,0.8903,0.9595
44,0.0977,0.9707,0.9668,0.9750,0.0694,0.9742,0.8995,0.9605,0.0977,0.9699,0.9666,0.9735,0.0859,0.9715,0.9039,0.9530
45,0.1095,0.9670,0.9651,0.9690,0.0975,0.9688,0.8977,0.9385,0.0950,0.9707,0.9673,0.9744,0.0874,0.9711,0.9086,0.9465
46,0.0849,0.9732,0.9693,0.9775,0.0845,0.9752,0.9082,0.9723,0.0908,0.9717,0.9681,0.9755,0.0931,0.9692,0.9101,0.9401
47,0.0956,0.9707,0.9663,0.9755,0.0953,0.9643,0.9202,0.9022,0.0867,0.9725,0.9690,0.9763,0.1017,0.9661,0.9051,0.9365
48,0.0725,0.9758,0.9717,0.9800,0.0754,0.9767,0.9671,0.9257,0.0843,0.9730,0.9696,0.9766,0.1105,0.9631,0.8956,0.9355
49,0.0878,0.9715,0.9696,0.9735,0.1841,0.9410,0.7623,0.9947,0.0835,0.9731,0.9698,0.9766,0.1148,0.9620,0.8904,0.9355
50,0.0824,0.9745,0.9712,0.9780,0.0849,0.9653,0.9592,0.8652,0.0828,0.9734,0.9700,0.9770,0.1172,0.9627,0.8869,0.9408
51,0.0864,0.9697,0.9658,0.9740,0.0746,0.9742,0.9219,0.9457,0.0811,0.9741,0.9707,0.9778,0.1232,0.9629,0.8754,0.9538
52,0.0797,0.9772,0.9732,0.9815,0.1871,0.9578,0.8323,0.9876,0.0791,0.9750,0.9716,0.9785,0.1299,0.9619,0.8595,0.9669
53,0.0745,0.9757,0.9731,0.9785,0.1153,0.9600,0.8401,0.9764,0.0781,0.9753,0.9721,0.9788,0.1324,0.9613,0.8521,0.9722
