epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
37,0.6901,0.5205,0.5203,0.5250,0.8319,0.1791,0.1675,0.9852,0.6169,0.6161,0.6231,0.6025,0.8824,0.4199,0.3650,0.7067
38,0.6449,0.6152,0.6251,0.5760,1.6279,0.2138,0.2130,1.0000,0.5440,0.6973,0.7088,0.6755,0.7785,0.5458,0.5299,0.6062
39,0.4892,0.7860,0.8052,0.7545,0.3882,0.8209,0.8750,0.0375,0.4576,0.7793,0.7938,0.7552,0.5784,0.7045,0.6939,0.5020
40,0.3677,0.8622,0.8803,0.8385,0.3082,0.8983,0.8493,0.6064,0.3821,0.8394,0.8542,0.8177,0.4015,0.8182,0.7969,0.4706
41,0.3227,0.8849,0.9018,0.8639,0.3090,0.8562,0.8407,0.2589,0.3292,0.8732,0.8861,0.8559,0.3013,0.8730,0.8385,0.5065
42,0.3037,0.8867,0.8965,0.8745,0.2393,0.9142,0.8464,0.6853,0.2961,0.8897,0.8997,0.8770,0.2560,0.8933,0.8464,0.5653
43,0.2701,0.8965,0.9054,0.8855,0.2397,0.8953,0.8974,0.5290,0.2751,0.8985,0.9054,0.8899,0.2388,0.8986,0.8370,0.6149
44,0.2650,0.9078,0.9133,0.9010,0.1946,0.9206,0.7848,0.7931,0.2609,0.9036,0.9076,0.8986,0.2397,0.8970,0.8166,0.6551
45,0.2564,0.9045,0.9065,0.9020,0.2483,0.8745,0.8817,0.4152,0.2506,0.9066,0.9083,0.9046,0.2508,0.8945,0.7914,0.7020
46,0.2370,0.9090,0.9074,0.9110,0.2833,0.8919,0.6615,0.9431,0.2430,0.9086,0.9089,0.9082,0.2647,0.8939,0.7653,0.7607
47,0.2421,0.9102,0.9095,0.9109,0.2188,0.9092,0.8923,0.6370,0.2367,0.9103,0.9102,0.9103,0.2749,0.8955,0.7402,0.8212
48,0.2385,0.9082,0.9072,0.9095,0.3607,0.8710,0.6106,0.9439,0.2311,0.9122,0.9124,0.9119,0.2744,0.8993,0.7239,0.8699
49,0.2231,0.9135,0.9152,0.9115,0.2600,0.9130,0.7262,0.9104,0.2278,0.9137,0.9142,0.9130,0.2621,0.9041,0.7263,0.8864
50,0.2167,0.9183,0.9201,0.9160,0.2398,0.9122,0.7203,0.9426,0.2296,0.9132,0.9137,0.9126,0.2477,0.9060,0.7486,0.8494
51,0.2202,0.9202,0.9192,0.9215,0.2445,0.9085,0.7278,0.9240,0.2362,0.9103,0.9105,0.9101,0.2417,0.9022,0.7830,0.7528
52,0.2560,0.9030,0.9042,0.9015,0.1881,0.9210,0.8303,0.7737,0.2429,0.9067,0.9066,0.9069,0.2454,0.8948,0.8149,0.6372
53,0.2479,0.9015,0.9003,0.9030,0.2893,0.8651,0.8618,0.3429,0.2456,0.9051,0.9049,0.9055,0.2488,0.8908,0.8281,0.5835
