epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
37,0.2450,0.9070,0.9078,0.9060,0.2416,0.9175,0.7218,0.9440,0.2487,0.9059,0.9086,0.9026,0.2571,0.9039,0.6945,0.9258
38,0.2452,0.9080,0.9125,0.9025,0.2551,0.9033,0.6813,0.9466,0.2459,0.9074,0.9095,0.9048,0.2633,0.9011,0.6832,0.9355
39,0.2401,0.9128,0.9159,0.9090,0.2946,0.8869,0.6425,0.9466,0.2452,0.9074,0.9086,0.9061,0.2645,0.9005,0.6815,0.9371
40,0.2447,0.9057,0.9051,0.9065,0.2712,0.8960,0.6828,0.9248,0.2452,0.9072,0.9072,0.9073,0.2577,0.9035,0.6901,0.9345
41,0.2539,0.9005,0.8993,0.9020,0.2553,0.9100,0.6923,0.9474,0.2434,0.9083,0.9076,0.9091,0.2494,0.9070,0.7011,0.9307
42,0.2445,0.9107,0.9081,0.9140,0.1973,0.9225,0.7469,0.9160,0.2398,0.9104,0.9101,0.9109,0.2457,0.9089,0.7086,0.9264
43,0.2316,0.9137,0.9123,0.9155,0.2800,0.8960,0.6826,0.9300,0.2370,0.9122,0.9129,0.9115,0.2423,0.9107,0.7164,0.9212
44,0.2284,0.9153,0.9197,0.9100,0.2697,0.9053,0.6920,0.9262,0.2368,0.9129,0.9144,0.9110,0.2370,0.9131,0.7264,0.9156
45,0.2390,0.9137,0.9148,0.9125,0.1933,0.9270,0.7637,0.9141,0.2370,0.9132,0.9152,0.9109,0.2413,0.9127,0.7277,0.9148
46,0.2508,0.9070,0.9107,0.9025,0.1759,0.9305,0.8094,0.8557,0.2345,0.9147,0.9168,0.9123,0.2637,0.9075,0.7125,0.9231
47,0.2329,0.9143,0.9136,0.9150,0.3156,0.8899,0.6330,0.9707,0.2296,0.9173,0.9196,0.9145,0.2880,0.9020,0.6948,0.9342
48,0.2121,0.9273,0.9305,0.9235,0.3831,0.8810,0.6473,0.9549,0.2245,0.9197,0.9224,0.9167,0.2900,0.9027,0.6944,0.9391
49,0.2354,0.9147,0.9187,0.9100,0.2894,0.9033,0.6966,0.9372,0.2195,0.9217,0.9241,0.9189,0.2682,0.9098,0.7118,0.9378
50,0.2166,0.9235,0.9282,0.9180,0.2021,0.9241,0.7495,0.9188,0.2146,0.9234,0.9250,0.9216,0.2383,0.9192,0.7367,0.9349
51,0.2027,0.9277,0.9258,0.9300,0.2701,0.9152,0.7124,0.9547,0.2112,0.9247,0.9254,0.9239,0.2112,0.9280,0.7623,0.9314
52,0.2082,0.9233,0.9230,0.9235,0.1643,0.9410,0.8027,0.9258,0.2103,0.9254,0.9256,0.9251,0.1909,0.9344,0.7833,0.9272
53,0.2131,0.9268,0.9274,0.9260,0.1697,0.9410,0.8093,0.9171,0.2104,0.9256,0.9258,0.9253,0.1831,0.9367,0.7915,0.9251
