epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
37,0.1722,0.9367,0.9344,0.9395,0.1765,0.9365,0.8163,0.9132,0.1831,0.9339,0.9290,0.9396,0.1918,0.9315,0.7791,0.9367
38,0.1617,0.9448,0.9406,0.9495,0.1677,0.9370,0.7915,0.9557,0.1863,0.9321,0.9267,0.9385,0.2030,0.9280,0.7675,0.9378
39,0.2082,0.9215,0.9157,0.9285,0.2674,0.9142,0.7174,0.9537,0.1916,0.9295,0.9235,0.9366,0.2115,0.9252,0.7583,0.9349
40,0.1951,0.9287,0.9193,0.9400,0.1925,0.9225,0.7531,0.9068,0.1951,0.9278,0.9219,0.9349,0.2158,0.9243,0.7569,0.9297
41,0.1938,0.9257,0.9200,0.9324,0.1829,0.9355,0.7918,0.9349,0.1965,0.9275,0.9222,0.9338,0.2154,0.9251,0.7637,0.9223
42,0.1982,0.9279,0.9250,0.9314,0.3100,0.9043,0.6757,0.9638,0.1972,0.9280,0.9234,0.9334,0.2077,0.9273,0.7756,0.9142
43,0.1991,0.9280,0.9229,0.9340,0.1450,0.9430,0.8743,0.8329,0.1974,0.9289,0.9249,0.9337,0.1962,0.9300,0.7843,0.9127
44,0.1959,0.9277,0.9241,0.9320,0.1715,0.9340,0.7871,0.9263,0.1975,0.9301,0.9267,0.9341,0.1898,0.9320,0.7838,0.9206
45,0.1963,0.9335,0.9296,0.9380,0.2204,0.9226,0.7422,0.9433,0.1971,0.9309,0.9287,0.9335,0.1891,0.9334,0.7798,0.9303
46,0.2038,0.9310,0.9267,0.9360,0.1515,0.9445,0.8144,0.9348,0.1959,0.9311,0.9305,0.9320,0.1893,0.9349,0.7789,0.9365
47,0.1901,0.9325,0.9369,0.9275,0.2360,0.9251,0.7280,0.9431,0.1936,0.9311,0.9314,0.9307,0.1880,0.9360,0.7805,0.9414
48,0.1959,0.9283,0.9298,0.9265,0.1529,0.9499,0.8365,0.9169,0.1906,0.9313,0.9313,0.9314,0.1873,0.9360,0.7797,0.9477
49,0.1893,0.9317,0.9341,0.9290,0.1919,0.9301,0.7630,0.9793,0.1873,0.9323,0.9310,0.9338,0.1906,0.9351,0.7752,0.9535
50,0.1834,0.9325,0.9253,0.9410,0.1932,0.9311,0.7560,0.9570,0.1844,0.9339,0.9317,0.9365,0.1989,0.9342,0.7692,0.9569
51,0.1854,0.9330,0.9304,0.9360,0.1674,0.9440,0.8065,0.9416,0.1831,0.9356,0.9332,0.9384,0.2073,0.9337,0.7653,0.9597
52,0.1684,0.9408,0.9405,0.9410,0.2946,0.9182,0.6990,0.9730,0.1838,0.9367,0.9344,0.9394,0.2099,0.9340,0.7655,0.9624
53,0.1948,0.9362,0.9330,0.9400,0.1672,0.9425,0.8000,0.9639,0.1846,0.9371,0.9348,0.9398,0.2094,0.9344,0.7665,0.9637
