epoch,loss,val_loss,val_accuracy,loss_sm,val_loss_sm,val_accuracy_sm
98,0.2440,0.7893,0.7188,0.2219,0.4293,0.8449
99,0.2102,0.1887,0.9312,0.2108,0.3607,0.8701
100,0.1933,0.2541,0.9187,0.2112,0.4516,0.8304
101,0.2232,0.6607,0.7375,0.2170,0.5545,0.7867
102,0.2252,0.6615,0.7500,0.2155,0.5633,0.7886
103,0.2018,0.2497,0.8875,0.2136,0.6515,0.7745
104,0.2224,1.1040,0.6500,0.2144,0.7114,0.7622
105,0.2085,0.4907,0.8438,0.2138,0.6298,0.7795
106,0.2218,0.7820,0.7000,0.2121,0.4755,0.8239
107,0.1975,0.2273,0.9187,0.2139,0.3389,0.8717
108,0.2277,0.2244,0.9000,0.2181,0.3872,0.8520
109,0.2113,0.4143,0.8813,0.2205,0.5450,0.7810
110,0.2304,0.8525,0.5938,0.2153,0.5680,0.7754
111,0.2234,0.4614,0.8625,0.1992,0.4681,0.8297
112,0.1541,0.2778,0.9125,0.1977,0.4485,0.8297
113,0.2189,0.6485,0.7437,0.2133,0.4257,0.8215
114,0.2242,0.3288,0.8250,0.2193,0.3222,0.8625
115,0.2287,0.2588,0.9125,0.2109,0.2347,0.9072
116,0.1936,0.1755,0.9312,0.2038,0.2033,0.9223
