epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
37,0.1772,0.9348,0.9281,0.9425,0.1590,0.9385,0.8361,0.8649,0.1961,0.9282,0.9229,0.9345,0.1948,0.9279,0.7768,0.9124
38,0.1910,0.9305,0.9267,0.9350,0.2559,0.9092,0.6934,0.9725,0.1991,0.9276,0.9221,0.9341,0.1955,0.9270,0.7784,0.9104
39,0.2057,0.9285,0.9205,0.9380,0.1506,0.9425,0.8715,0.8439,0.2034,0.9259,0.9204,0.9325,0.1997,0.9248,0.7692,0.9155
40,0.2155,0.9194,0.9144,0.9254,0.1953,0.9256,0.7560,0.9310,0.2054,0.9250,0.9197,0.9313,0.2098,0.9207,0.7490,0.9272
41,0.2021,0.9237,0.9193,0.9290,0.2085,0.9162,0.7280,0.9417,0.2048,0.9257,0.9205,0.9320,0.2193,0.9176,0.7313,0.9386
42,0.2074,0.9258,0.9217,0.9305,0.2968,0.8953,0.6521,0.9688,0.2031,0.9271,0.9217,0.9336,0.2186,0.9184,0.7286,0.9439
43,0.1945,0.9332,0.9257,0.9419,0.1698,0.9340,0.7785,0.9173,0.2012,0.9281,0.9226,0.9347,0.2089,0.9220,0.7393,0.9421
44,0.2121,0.9243,0.9182,0.9315,0.2172,0.9220,0.7249,0.9720,0.1989,0.9286,0.9236,0.9345,0.1986,0.9254,0.7546,0.9332
45,0.1921,0.9314,0.9263,0.9374,0.1901,0.9251,0.7471,0.9509,0.1968,0.9287,0.9245,0.9336,0.1933,0.9277,0.7680,0.9206
46,0.1872,0.9285,0.9255,0.9320,0.1585,0.9380,0.8433,0.8475,0.1958,0.9289,0.9253,0.9332,0.1926,0.9291,0.7759,0.9131
47,0.2034,0.9275,0.9266,0.9285,0.2324,0.9172,0.7169,0.9321,0.1945,0.9299,0.9259,0.9346,0.1915,0.9305,0.7803,0.9146
48,0.2005,0.9267,0.9227,0.9314,0.1852,0.9380,0.7987,0.9233,0.1911,0.9317,0.9267,0.9375,0.1866,0.9319,0.7825,0.9216
49,0.1846,0.9383,0.9299,0.9480,0.1754,0.9360,0.8233,0.9000,0.1861,0.9336,0.9277,0.9405,0.1792,0.9330,0.7807,0.9319
50,0.1858,0.9305,0.9258,0.9360,0.1837,0.9271,0.7440,0.9486,0.1824,0.9345,0.9280,0.9420,0.1720,0.9344,0.7778,0.9436
51,0.1674,0.9427,0.9343,0.9525,0.1647,0.9350,0.7695,0.9600,0.1820,0.9338,0.9272,0.9416,0.1660,0.9367,0.7792,0.9532
52,0.1846,0.9317,0.9259,0.9384,0.1547,0.9395,0.7876,0.9526,0.1839,0.9322,0.9255,0.9399,0.1625,0.9390,0.7836,0.9589
53,0.1901,0.9280,0.9213,0.9360,0.1633,0.9425,0.7915,0.9678,0.1851,0.9313,0.9247,0.9390,0.1615,0.9399,0.7859,0.9608
